Timestamp,RangeMilliMeter
23540000,48
23551000,43
23562000,43
23572000,24
23583000,24
23594000,32
23605000,31
23616000,31
23627000,43
23638000,43
23649000,28
23660000,38
23672000,38
23683000,38
23694000,16
23706000,16
23717000,26
23728000,26
23740000,30
23751000,28
23762000,28
23774000,24
23785000,41
23796000,41
23807000,28
23817000,28
23829000,34
23841000,26
23854000,26
23866000,32
23876000,44
23888000,44
23898000,19
23910000,19
23922000,22
23934000,25
23945000,25
23955000,36
23966000,44
23977000,44
23988000,37
24000000,37
24012000,28
24023000,29
24034000,29
24045000,47
24056000,24
24068000,24
24079000,26
24090000,26
24101000,42
24111000,33
24123000,33
24135000,20
24146000,26
24157000,26
24168000,32
24179000,32
24191000,25
24203000,39
24214000,39
24224000,32
24235000,32
24245000,29
24257000,43
24269000,43
24280000,23
24292000,47
24303000,47
24313000,24
24325000,41
24336000,41
24347000,20
24359000,20
24370000,33
24381000,28
24393000,28
24404000,37
24414000,37
24425000,43
24437000,51
24448000,51
24459000,62
24470000,53
24481000,53
24492000,71
24504000,71
24515000,3
24526000,3
24536000,3
24547000,3
24558000,3
24569000,3
24580000,3
24591000,3
24602000,3
24613000,3
24624000,3
24635000,2500
24646000,2500
24657000,2500
24668000,2500
24678000,2500
24689000,2500
24700000,2500
24712000,2500
24723000,2500
24735000,2500
24746000,2500
24758000,2500
24770000,2500
24781000,2500
24792000,2500
24804000,2500
24816000,2500
24827000,2500
24837000,2500
24848000,2500
24859000,2500
24871000,2500
24881000,2500
24892000,2500
24904000,2500
24915000,2500
24925000,2500
24937000,2500
24948000,2500
24960000,2500
24971000,2500
24982000,2500
24993000,2500
25004000,2500
25015000,2500
25026000,2500
25038000,2500
25049000,2500
25060000,2500
25070000,2500
25081000,2500
25092000,2500
25103000,2500
25114000,2500
25126000,2500
25138000,119
25149000,119
25159000,93
25170000,93
25181000,104
25192000,104
25202000,104
25213000,104
25224000,104
25236000,104
25246000,104
25256000,104
25268000,104
25280000,104
25290000,2500
25301000,2500
25312000,2500
25324000,2500
25335000,2500
25346000,2500
25358000,2500
25369000,2500
25380000,2500
25391000,2500
25402000,2500
25412000,2500
25423000,2500
25434000,2500
25446000,2500
25457000,2500
25468000,2500
25479000,2500
25490000,2500
25501000,2500
25512000,2500
25524000,2500
25535000,2500
25546000,2500
25558000,2500
25569000,2500
25580000,2500
25592000,2500
